"","Inbreeding_Coefficient","Value","Province_Name"
"283","Inbreeding.1","0.231578947368421","Bocas del Toro"
"284","Inbreeding.1","0.189473684210526","Bocas del Toro"
"285","Inbreeding.1","0.147368421052632","Bocas del Toro"
"286","Inbreeding.1","0.189473684210526","Bocas del Toro"
"287","Inbreeding.1","0.178947368421053","Bocas del Toro"
"288","Inbreeding.1","0.031578947368421","Bocas del Toro"
"289","Inbreeding.1","0.189473684210526","Bocas del Toro"
"290","Inbreeding.1","0.105263157894737","Bocas del Toro"
"291","Inbreeding.1","0.115789473684211","Bocas del Toro"
"292","Inbreeding.1","0.105263157894737","Bocas del Toro"
"293","Inbreeding.1","0.178947368421053","Bocas del Toro"
"294","Inbreeding.1","0.147368421052632","Bocas del Toro"
"295","Inbreeding.1","0.168421052631579","Bocas del Toro"
"296","Inbreeding.1","0.231578947368421","Bocas del Toro"
"297","Inbreeding.1","0.0947368421052631","Bocas del Toro"
"298","Inbreeding.1","0.147368421052632","Bocas del Toro"
"299","Inbreeding.1","0.147368421052632","Bocas del Toro"
"300","Inbreeding.1","0.147368421052632","Bocas del Toro"
"301","Inbreeding.1","0.0526315789473685","Bocas del Toro"
"302","Inbreeding.1","0.115789473684211","Bocas del Toro"
"303","Inbreeding.1","0.126315789473684","Bocas del Toro"
"304","Inbreeding.1","0.157894736842105","Bocas del Toro"
"305","Inbreeding.1","0.136842105263158","Bocas del Toro"
"306","Inbreeding.1","0.105263157894737","Bocas del Toro"
"307","Inbreeding.2","0.126315789473684","Bocas del Toro"
"308","Inbreeding.2","0.0736842105263158","Bocas del Toro"
"309","Inbreeding.2","0.136842105263158","Bocas del Toro"
"310","Inbreeding.2","0.105263157894737","Bocas del Toro"
"311","Inbreeding.2","0.147368421052632","Bocas del Toro"
"312","Inbreeding.2","0.126315789473684","Bocas del Toro"
"313","Inbreeding.2","0.0631578947368421","Bocas del Toro"
"314","Inbreeding.2","0.115789473684211","Bocas del Toro"
"315","Inbreeding.2","0.105263157894737","Bocas del Toro"
"316","Inbreeding.2","0.105263157894737","Bocas del Toro"
"317","Inbreeding.2","0.0736842105263158","Bocas del Toro"
"318","Inbreeding.2","0.0947368421052631","Bocas del Toro"
"319","Inbreeding.2","0.136842105263158","Bocas del Toro"
"320","Inbreeding.2","0.115789473684211","Bocas del Toro"
"321","Inbreeding.2","0.105263157894737","Bocas del Toro"
"322","Inbreeding.2","0.178947368421053","Bocas del Toro"
"323","Inbreeding.2","0.136842105263158","Bocas del Toro"
"324","Inbreeding.2","0.147368421052632","Bocas del Toro"
"325","Inbreeding.2","0.126315789473684","Bocas del Toro"
"326","Inbreeding.2","0.0736842105263158","Bocas del Toro"
"327","Inbreeding.2","0.115789473684211","Bocas del Toro"
"328","Inbreeding.2","0.0842105263157895","Bocas del Toro"
"329","Inbreeding.2","0.0947368421052631","Bocas del Toro"
"330","Inbreeding.2","0.126315789473684","Bocas del Toro"
"331","Inbreeding.2","0.178947368421053","Bocas del Toro"
"332","Inbreeding.2","0.0842105263157895","Bocas del Toro"
"333","Inbreeding.2","0.0736842105263158","Bocas del Toro"
"334","Inbreeding.2","0.0947368421052631","Bocas del Toro"
"335","Inbreeding.2","0.0736842105263158","Bocas del Toro"
"336","Inbreeding.2","0.105263157894737","Bocas del Toro"
"337","Inbreeding.2","0.147368421052632","Bocas del Toro"
"338","Inbreeding.2","0.0526315789473685","Bocas del Toro"
"339","Inbreeding.2","0.115789473684211","Bocas del Toro"
"340","Inbreeding.2","0.147368421052632","Bocas del Toro"
"341","Inbreeding.2","0.136842105263158","Bocas del Toro"
"342","Inbreeding.2","0.126315789473684","Bocas del Toro"
"343","Inbreeding.2","0.147368421052632","Bocas del Toro"
"344","Inbreeding.2","0.147368421052632","Bocas del Toro"
"345","Inbreeding.2","0.115789473684211","Bocas del Toro"
"346","Inbreeding.2","0.0842105263157895","Bocas del Toro"
"347","Inbreeding.2","0.0631578947368421","Bocas del Toro"
"348","Inbreeding.2","0.0947368421052631","Bocas del Toro"
"349","Inbreeding.2","0.168421052631579","Bocas del Toro"
"350","Inbreeding.2","0.157894736842105","Bocas del Toro"
"351","Inbreeding.2","0.178947368421053","Bocas del Toro"
"352","Inbreeding.2","0.178947368421053","Bocas del Toro"
"353","Inbreeding.2","0.157894736842105","Bocas del Toro"
"354","Inbreeding.2","0.178947368421053","Bocas del Toro"
"355","Inbreeding.2","0.178947368421053","Bocas del Toro"
"356","Inbreeding.2","0.168421052631579","Bocas del Toro"
"357","Inbreeding.2","0.178947368421053","Bocas del Toro"
"358","Inbreeding.2","0.189473684210526","Bocas del Toro"
"359","Inbreeding.2","0.168421052631579","Bocas del Toro"
"360","Inbreeding.2","0.178947368421053","Bocas del Toro"
"361","Inbreeding.2","0.178947368421053","Bocas del Toro"
"362","Inbreeding.2","0.0736842105263158","Bocas del Toro"
"363","Inbreeding.2","0.178947368421053","Bocas del Toro"
"364","Inbreeding.2","0.178947368421053","Bocas del Toro"
"365","Inbreeding.2","0.178947368421053","Bocas del Toro"
"366","Inbreeding.2","0.178947368421053","Bocas del Toro"
"367","Inbreeding.2","0.178947368421053","Bocas del Toro"
"368","Inbreeding.2","0.105263157894737","Bocas del Toro"
"369","Inbreeding.2","0.105263157894737","Bocas del Toro"
"370","Inbreeding.2","0.0842105263157895","Bocas del Toro"
"371","Inbreeding.2","0.0947368421052631","Bocas del Toro"
"372","Inbreeding.2","0.178947368421053","Bocas del Toro"
"373","Inbreeding.2","0.189473684210526","Bocas del Toro"
"374","Inbreeding.2","0.178947368421053","Bocas del Toro"
"375","Inbreeding.2","0.168421052631579","Bocas del Toro"
"376","Inbreeding.2","0.126315789473684","Bocas del Toro"
"377","Inbreeding.2","0.157894736842105","Bocas del Toro"
"378","Inbreeding.2","0.0842105263157895","Bocas del Toro"
"379","Inbreeding.2","0.115789473684211","Bocas del Toro"
"380","Inbreeding.2","0.105263157894737","Bocas del Toro"
"381","Inbreeding.2","0.105263157894737","Bocas del Toro"
"382","Inbreeding.2","0.105263157894737","Bocas del Toro"
"383","Inbreeding.2","0.157894736842105","Bocas del Toro"
"384","Inbreeding.2","0.0947368421052631","Bocas del Toro"
"385","Inbreeding.2","0.136842105263158","Bocas del Toro"
"386","Inbreeding.2","0.0947368421052631","Bocas del Toro"
"387","Inbreeding.2","0.115789473684211","Bocas del Toro"
"388","Inbreeding.2","0.147368421052632","Bocas del Toro"
"389","Inbreeding.2","0.147368421052632","Bocas del Toro"
